condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,text.started,resp.started,text.stopped,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.043502800000055686,0.08331380000004174,56.779925299999945,space,56.688408600000116,None,,,,,,,,,,,,,,,,,,,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,0,0,0,3,56.81054419999998,,,,,,,,56.7867172,56.78736020000008,56.787377499999934,56.81054419999998,56.81054419999998,56.81054419999998,56.81054419999998,56.99445500000013,57.812626799999975,58.29444799999999,58.3116268,58.3116268,58.3116268,58.79472640000006,59.310279599999944,59.27961450000009,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,0,1,1,4,59.310279599999944,,,,,,,,59.280641100000025,59.281377500000076,59.28141130000006,59.310279599999944,59.310279599999944,59.310279599999944,59.310279599999944,59.49516290000008,60.31105059999993,60.79403600000012,60.81155120000005,60.81155120000005,60.81155120000005,61.29502239999999,61.794323899999995,61.779815299999996,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,0,2,2,6,61.794323899999995,,,,,,,,61.780640999999946,61.78132919999996,61.781360900000095,61.794323899999995,61.794323899999995,61.794323899999995,61.794323899999995,61.9941606000001,62.79450320000012,63.29402360000006,63.29402360000006,63.29402360000006,63.29402360000006,63.794896700000095,64.29433600000004,64.28010849999998,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,0,3,3,8,64.29433600000004,,,,,,,,64.28098499999999,64.28164419999996,64.2816775,64.29433600000004,64.29433600000004,64.29433600000004,64.29433600000004,64.49412810000001,65.29407380000009,65.79498780000006,65.79498780000006,65.79498780000006,65.79498780000006,66.29459510000004,,66.7934454,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,0,4,4,2,66.80982039999992,,,,,,,,66.79397150000011,66.79442619999998,66.79444769999998,66.80982039999992,66.80982039999992,66.80982039999992,66.80982039999992,66.99441600000011,67.80999170000007,68.32647880000002,68.32647880000002,68.32647880000002,68.32647880000002,68.79481010000006,,69.29514280000001,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,0,5,5,7,69.32790030000012,,,,,,,,69.29609280000011,69.29720580000014,69.29724790000012,69.32790030000012,69.32790030000012,69.32790030000012,69.32790030000012,69.51160020000009,70.32838430000004,70.81124439999996,70.82839460000002,70.82839460000002,70.82839460000002,71.31138350000003,71.81140599999992,71.79578830000003,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,0,6,6,9,71.81140599999992,,,,,,,,71.79671790000009,71.7974640000001,71.79750330000013,71.81140599999992,71.81140599999992,71.81140599999992,71.81140599999992,72.01028759999997,72.81082909999998,73.36138010000002,73.36138010000002,73.36138010000002,73.36138010000002,73.81104429999993,,74.31164969999998,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,0,7,7,5,74.32779040000003,,,,,,,,74.31261789999996,74.31366650000007,74.31371419999994,74.32779040000003,74.32779040000003,74.32779040000003,74.32779040000003,74.52738910000005,75.32824059999996,75.82821389999992,75.84369980000008,75.84369980000008,75.84369980000008,76.32658879999997,,76.82706730000007,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,0,8,8,0,76.84338100000002,,,,,,,,76.82773850000001,76.82836310000005,76.82838679999998,76.84338100000002,76.84338100000002,76.84338100000002,76.84338100000002,77.04394379999997,77.84357009999997,78.34444769999993,78.34444769999993,78.34444769999993,78.34444769999993,78.8448866,79.34408280000014,79.32923659999994,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,0,9,9,1,79.34408280000014,,,,,,,,79.32989770000006,79.3306718,79.33070099999998,79.34408280000014,79.34408280000014,79.34408280000014,79.34408280000014,79.54336249999994,80.34333430000004,80.84385250000003,80.84385250000003,80.84385250000003,80.84385250000003,81.34451090000005,81.84336760000008,81.82868650000012,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,1,0,10,5,81.84336760000008,,,,,,,,81.82924379999997,81.82995510000012,81.82998020000002,81.84336760000008,81.84336760000008,81.84336760000008,81.84336760000008,82.04362720000006,82.8434367000001,83.34373100000005,83.34373100000005,83.34373100000005,83.34373100000005,83.8435412,84.34302930000001,84.32853630000011,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,1,1,11,4,84.34302930000001,,,,,,,,84.32929030000003,84.33000920000006,84.33004169999992,84.34302930000001,84.34302930000001,84.34302930000001,84.34302930000001,84.54367050000008,85.34345990000008,85.84331540000005,85.84331540000005,85.84331540000005,85.84331540000005,86.34407679999993,86.84275489999993,86.82675610000013,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,1,2,12,2,86.84275489999993,,,,,,,,86.82722330000013,86.8275996000001,86.82761629999993,86.84275489999993,86.84275489999993,86.84275489999993,86.84275489999993,87.02672059999998,87.84251410000013,88.34287440000014,88.34287440000014,88.34287440000014,88.34287440000014,88.82608560000006,89.34227160000012,89.32690390000005,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,1,3,13,3,89.34227160000012,,,,,,,,89.32755490000011,89.32791250000002,89.32793240000012,89.34227160000012,89.34227160000012,89.34227160000012,89.34227160000012,89.52620289999993,90.34405430000004,90.8439267,90.8439267,90.8439267,90.8439267,91.32672820000005,,91.84326240000007,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,1,4,14,6,91.85910300000012,,,,,,,,91.84407440000007,91.84469750000005,91.84471769999993,91.85910300000012,91.85910300000012,91.85910300000012,91.85910300000012,92.0593685,92.86034129999996,93.35952280000004,93.35952280000004,93.35952280000004,93.35952280000004,93.85990000000004,94.35892109999998,94.34470420000014,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,1,5,15,9,94.35892109999998,,,,,,,,94.34546469999998,94.34611800000005,94.3461489,94.35892109999998,94.35892109999998,94.35892109999998,94.35892109999998,94.55927320000012,95.35935690000008,95.85965160000012,95.85965160000012,95.85965160000012,95.85965160000012,96.36034340000003,96.8591090000001,96.84350580000012,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,1,6,16,1,96.8591090000001,,,,,,,,96.84406969999998,96.84438920000014,96.84440699999993,96.8591090000001,96.8591090000001,96.8591090000001,96.8591090000001,97.05878999999993,97.85913700000003,98.35986630000014,98.35986630000014,98.35986630000014,98.35986630000014,98.860006,99.35901419999993,99.34340740000005,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,O,1,7,17,7,99.35901419999993,,,,,,,,99.34387479999998,99.3441795,99.34419779999996,99.35901419999993,99.35901419999993,99.35901419999993,99.35901419999993,99.55938120000008,100.35960990000001,100.85969979999993,100.85969979999993,100.85969979999993,100.85969979999993,101.36030990000006,101.87537989999998,101.84505430000002,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,1,8,18,0,101.87537989999998,,,,,,,,101.84617979999996,101.84719340000004,101.84723760000008,101.87537989999998,101.87537989999998,101.87537989999998,101.87537989999998,102.06008520000012,102.87583350000011,103.35971039999993,103.37647700000014,103.37647700000014,103.37647700000014,103.86022889999992,104.35969850000004,104.34470169999997,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
congruent,X,1,9,19,8,104.35969850000004,,,,,,,,104.34559490000004,104.34647310000003,104.34651190000011,104.35969850000004,104.35969850000004,104.35969850000004,104.35969850000004,104.5593947000001,105.35959560000003,105.85974320000003,105.85974320000003,105.85974320000003,105.85974320000003,106.36026090000007,106.86106669999992,106.84423260000005,None,0,,,001,1,1,2023-11-10_13h06.18.487,simon_task_simple,2023.2.2,59.95775376666498,2023-11-10 13h06.31.402697 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.8447559,106.86106669999992,,,,,,,,,
